latitude,longitude,index
-21,149,0.479
-21,165,0.672
-20,-70,0.057
-20,-69,0.124
-20,-68,0.117
-20,-67,0.132
-20,-66,0.172
-20,-65,0.487
-20,-64,0.431
-20,-63,0.561
-20,-62,0.51
-20,-61,0.475
-20,-60,0.443
-20,-59,0.573
-20,-58,0.668
-20,-57,0.68
-20,-56,0.53
-20,-55,0.313
-20,-54,0.463
-20,-53,0.424
-20,-52,0.475
-20,-51,0.376
-20,-50,0.376
-20,-49,0.455
-20,-48,0.361
-20,-47,0.404
-20,-46,0.428
-20,-45,0.459
-20,-44,0.609
-20,-43,0.664
-20,-42,0.471
-20,-41,0.372
-20,14,0.085
-20,15,0.168
-20,16,0.183
-20,17,0.215
-20,18,0.262
-20,19,0.223
-20,20,0.223
-20,21,0.203
-20,22,0.254
-20,23,0.239
-20,24,0.239
-20,25,0.282
-20,26,0.306
-20,27,0.298
-20,28,0.306
-20,29,0.306
-20,30,0.278
-20,31,0.266
-20,32,0.262
-20,33,0.266
-20,34,0.479
-20,35,0.428
-20,45,0.388
-20,46,0.243
-20,47,0.282
-20,48,0.266
-20,49,0.723
-20,122,0.223
-20,123,0.187
-20,124,0.148
-20,125,0.183
-20,126,0.183
-20,127,0.132
-20,128,0.172
-20,129,0.18
-20,130,0.152
-20,131,0.183
-20,132,0.183
-20,133,0.16
-20,134,0.195
-20,135,0.168
-20,136,0.219
-20,137,0.128
-20,138,0.144
-20,139,0.215
-20,140,0.262
-20,141,0.183
-20,142,0.298
-20,143,0.278
-20,144,0.487
-20,145,0.365
-20,146,0.349
-20,147,0.439
-19,-70,0.168
-19,-69,0.109
-19,-68,0.148
-19,-67,0.152
-19,-66,0.274
-19,-65,0.321
-19,-64,0.758
-19,-63,0.439
-19,-62,0.506
-19,-61,0.451
-19,-60,0.451
-19,-59,0.479
-19,-58,0.683
-19,-57,0.593
-19,-56,0.51
-19,-55,0.369
-19,-54,0.498
-19,-53,0.333
-19,-52,0.467
-19,-51,0.325
-19,-50,0.25
-19,-49,0.325
-19,-48,0.376
-19,-47,0.388
-19,-45,0.38
-19,-44,0.589
-19,-43,0.51
-19,-42,0.376
-19,-41,0.617
-19,13,0.065
-19,14,0.203
-19,15,0.172
-19,16,0.168
-19,17,0.117
-19,18,0.231
-19,19,0.235
-19,20,0.278
-19,21,0.333
-19,22,0.227
-19,23,0.286
-19,24,0.262
